Name,Brand,Price,Popularity,Rating,Store,Concern 1,Concern 2,Concern 3
Pore Clearing Matte Moisturizer with Volcanic Clusters,innisfree,24.0,118,2.5,Sephora,dryness,fine lines,dullness
Vitamin Enriched Face Base Primer Moisturizer,Bobbi Brown,99.0,3500,2.6,Sephora,dullness,dark spots,uneven texture
Priming Moisturizer Balance Oil-Control Gel-Cream,Glossier,25.0,28,4.3,Sephora,dark spots,redness,dullness
Resveratrol Lift Retinol Alternative Firming Cashmere Moisturizer,Caudalie,69.0,338,2.6,Sephora,dullness,redness,dark spots
Moisture Surge™ 100H Auto-Replenishing Hydrator Moisturizer,CLINIQUE,82.0,1800,3.4,Sephora,dark spots,redness,dryness
Face Glaze Skin Barrier Protect & Glow Moisturizer,iNNBEAUTY PROJECT,25.0,235,3.9,Sephora,redness,dullness,fine lines
Essential Energy Hydrating Cream,Shiseido,50.0,458,2.9,Sephora,dark spots,dryness,redness
Dramatically Different Moisturizing Gel,CLINIQUE,45.0,4000,2.7,Sephora,loss of firmness,fine lines,dryness
Dynamic Skin Recovery SPF50 Moisturizer,Dermalogica,79.0,277,3.7,Sephora,dark spots,fine lines,uneven texture
Hydration Peptide Cream,Shani Darden Skin Care,58.0,200,3.2,Sephora,uneven texture,fine lines,dark spots
Indigo Overnight Repair Serum in Cream Treatment,Tatcha,92.0,1100,4.2,Sephora,fine lines,redness,dullness
Black Tea Anti-Aging Moisturizer with Retinol-Alternative BT Matrix,fresh,95.0,1400,2.9,Sephora,dark spots,redness,uneven texture
Virgin Marula Luxury  Face Oil,Drunk Elephant,68.0,1700,4.3,Sephora,dryness,redness,uneven texture
Teatreement™ Moisturizer,Dr. Jart+,35.0,624,3.3,Sephora,dark spots,uneven texture,loss of firmness
Adaptogen Deep Moisturizing Cream with Ashwagandha + Reishi,Youth To The People,58.0,2100,3.5,Sephora,loss of firmness,dark spots,fine lines
Mini Cloud Dew Oil-Free Gel Cream,Summer Fridays,17.0,831,4.4,Sephora,redness,dark spots,uneven texture
Moisture Surge 100H Auto-Replenishing Hydrator Moisturizer,Clinique,82.0,3484,4.6,Ulta,loss of firmness,dryness,uneven texture
Protini Polypeptide Cream,Drunk Elephant,68.0,1167,4.6,Ulta,fine lines,dark spots,redness
24-7 Moisture Hydrating Day & Night Cream,Tula,88.0,3315,4.6,Ulta,dryness,redness,dark spots
Natural Moisturizing Factors + HA Daily Moisturizer,The Ordinary,13.5,2529,4.3,Ulta,dryness,loss of firmness,uneven texture
True Match Lumi Glotion Natural Glow Enhancer,L'Oréal,15.99,1222,4.5,Ulta,dullness,loss of firmness,fine lines
Toleriane Double Repair Face Moisturizer UV SPF 30,La Roche-Posay,22.99,1385,4.2,Ulta,uneven texture,loss of firmness,dark spots
Ultra Facial Cream,Kiehl's Since 1851,105.0,5197,4.7,Ulta,dark spots,loss of firmness,uneven texture
Lala Retro Whipped Cream,Drunk Elephant,62.0,1201,4.6,Ulta,dullness,redness,loss of firmness
Dramatically Different Moisturizing Face Lotion+,Clinique,45.0,5653,4.4,Ulta,loss of firmness,dullness,uneven texture
Toleriane Double Repair Face Moisturizer with Niacinamide,La Roche-Posay,22.99,1306,4.0,Ulta,uneven texture,loss of firmness,fine lines
AM Facial Moisturizing Lotion with Broad Spectrum SPF 30,CeraVe,20.99,16145,4.6,Ulta,redness,uneven texture,dullness
Slam Dunk Hydrating Moisturizer,Bubble,16.0,379,4.7,Ulta,redness,fine lines,uneven texture
Moisture Surge Broad Spectrum SPF 28 Sheer Hydrator Moisturizer,Clinique,48.0,54,4.2,Ulta,redness,dullness,dryness
Vitamin Enriched Face Base Priming Moisturizer,BOBBI BROWN,66.0,2450,4.7,Ulta,loss of firmness,dark spots,dryness
Cicaplast Baume B5 Soothing Therapeutic Multi Purpose Cream,La Roche-Posay,17.99,1538,4.7,Ulta,uneven texture,fine lines,dark spots
Ultra Repair Cream,First Aid Beauty,38.0,4104,4.6,Ulta,fine lines,dryness,loss of firmness
Advanced Snail 92 All In One Cream,COSRX,26.0,549,4.2,Ulta,dark spots,fine lines,loss of firmness
Dynamic Skin Recovery SPF 50 Moisturizer,Dermalogica,79.0,2147,4.7,Ulta,fine lines,uneven texture,loss of firmness
Skin Smoothing Cream Moisturizer,Dermalogica,98.0,1444,4.6,Ulta,dark spots,redness,fine lines
Rènergie Lift Multi-Action Ultra Face Cream SPF 30,Lancôme,114.8,2508,4.7,Ulta,dryness,uneven texture,fine lines
"Your Anti-Aging, Moisturizing Face and Eye Cream Duo",IT Cosmetics,62.0,4,5.0,Ulta,dark spots,dullness,uneven texture
Toleriane Double Repair Matte Face Moisturizer for Oily Skin,La Roche-Posay,22.99,1186,4.3,Ulta,loss of firmness,dryness,dullness
Dramatically Different Face Moisturizing Gel,Clinique,45.0,4222,4.7,Ulta,fine lines,uneven texture,dullness
Intensive Moisture Balance Moisturizer,Dermalogica,74.0,1335,4.7,Ulta,dullness,dryness,fine lines
Glow Starts Here Bestselling Skin Essentials Kit,Tula,138.0,50,4.2,Ulta,dryness,fine lines,redness
Cicalfate+ Restorative Protective Cream,Avène,42.0,269,4.6,Ulta,redness,uneven texture,dryness
Holy Hydration! Face Cream SPF 30,e.l.f. Cosmetics,13.0,719,4.5,Ulta,uneven texture,dryness,dark spots
Ultra-Light Moisturizing Lotion SPF 30,CeraVe,20.99,760,4.5,Ulta,dullness,uneven texture,dark spots
Moisture Surge Intense 72H Lipid-Replenishing Hydrator Moisturizer,Clinique,59.0,492,3.7,Ulta,dullness,uneven texture,fine lines
Hydro Boost Hyaluronic Acid Water Gel Moisturizer,Neutrogena,29.99,5284,4.4,Ulta,dryness,loss of firmness,fine lines
Water Drench Hyaluronic Cloud Cream Hydrating Moisturizer,Peter Thomas Roth,54.0,785,4.3,Ulta,dryness,fine lines,dark spots
Redness Solutions Daily Relief Face Cream With Probiotic Technology,Clinique,56.0,206,4.4,Ulta,dryness,dark spots,redness
Lightweight Daily Moisturizer,Good Molecules,12.0,143,4.5,Ulta,fine lines,dullness,dark spots
Matcha Pudding Antioxidant Cream,PEACH & LILY,43.0,1564,4.5,Ulta,fine lines,dryness,redness
Clinique Smart Clinical Repair Wrinkle Correcting Face Cream,Clinique,68.0,2229,4.5,Ulta,uneven texture,dullness,dryness
Active Moist Oil-Free Moisturizer,Dermalogica,98.0,3982,4.6,Ulta,fine lines,redness,dryness
SA Cream,CeraVe,31.99,941,4.6,Ulta,redness,fine lines,dryness
LiftActiv Vitamin C Brightening Face Serum,Vichy,34.99,2420,4.5,Ulta,dryness,loss of firmness,uneven texture
Hope In A Jar Smooth-Glow Multi-Tasking Moisturizer,Philosophy,50.4,708,4.5,Ulta,dryness,dullness,loss of firmness
Fragrance Free Holy Hydration! Face Cream,e.l.f. Cosmetics,13.0,684,4.4,Ulta,loss of firmness,redness,dark spots
DayWear Multi-Protection Anti-Oxidant 24H-Moisture Creme Broad Spectrum SPF 15,Estée Lauder,59.0,1295,4.6,Ulta,uneven texture,loss of firmness,dullness
Bloom Cream Daily Moisturizer,Beekman 1802,54.0,2671,4.5,Ulta,loss of firmness,uneven texture,fine lines
Ultra Repair Firming Collagen Cream,First Aid Beauty,44.0,472,4.6,Ulta,dark spots,dullness,redness
Ultra Repair Cream Jumbo,First Aid Beauty,48.0,136,4.8,Ulta,dryness,dullness,redness
Peptide Pro Firming Moisturizer,PEACH & LILY,45.0,253,4.7,Ulta,uneven texture,dryness,dark spots
The True Cream - Aqua Bomb,belif,38.0,1441,4.6,Ulta,redness,fine lines,dark spots
Self Reflect Probiotic Moisturizing Sunscreen SPF 32,Kinship,46.0,859,4.2,Ulta,redness,dullness,dryness
A-Passioni Retinol Cream,Drunk Elephant,74.0,69,4.5,Ulta,dark spots,redness,fine lines
SA Lotion For Rough & Bumpy Skin,CeraVe,21.99,908,4.6,Ulta,dullness,fine lines,redness
"Hydro Boost Hyaluronic Acid Gel-Cream, Extra Dry Skin",Neutrogena,29.99,6390,4.7,Ulta,loss of firmness,uneven texture,dryness
Tolerance Control Skin Recovery Cream,Avène,36.0,3179,4.4,Ulta,fine lines,dryness,uneven texture
Essential-C Day Moisture Broad Spectrum SPF 30 / PA+++,Murad,68.0,563,4.6,Ulta,dryness,uneven texture,dullness
Mini Vitamin Enriched Face Base,BOBBI BROWN,24.0,2450,4.7,Ulta,dark spots,fine lines,dryness
Effaclar Mat Daily Face Moisturizer for Oily Skin,La Roche-Posay,36.99,827,4.4,Ulta,redness,uneven texture,dullness
GinZing SPF 40 Energy-Boosting Tinted Moisturizer,Origins,46.0,823,4.1,Ulta,loss of firmness,dryness,redness
Revitalizing Supreme+ Youth Power Crème Moisturizer,Estée Lauder,120.0,5014,4.5,Ulta,uneven texture,redness,dullness
Butter Drench Restorative Rich Cream,bareMinerals,40.0,694,4.7,Ulta,uneven texture,loss of firmness,fine lines
Gentle Retinol Cream,Good Molecules,8.0,81,4.4,Ulta,redness,loss of firmness,uneven texture
High Potency Classics Face Finishing & Firming Tinted Moisturizer SPF 30,Perricone MD,75.0,78,4.2,Ulta,fine lines,uneven texture,dark spots
Hyper Real Skincanvas Balm Moisturizing Cream,MAC,49.0,530,4.7,Ulta,loss of firmness,dullness,dark spots
The True Cream - Moisturizing Bomb,belif,38.0,2350,4.6,Ulta,dryness,dullness,fine lines
Level Up Balancing Moisturizer,Bubble,16.0,353,4.7,Ulta,redness,fine lines,loss of firmness
Glass Skin Water Gel Moisturizer,PEACH & LILY,43.0,485,4.5,Ulta,redness,dullness,dryness
C.E.O. Afterglow Brightening Vitamin C Cream,SUNDAY RILEY,65.0,502,4.7,Ulta,loss of firmness,fine lines,uneven texture
Targeted Wrinkle Corrector,Murad,79.0,339,4.6,Ulta,fine lines,dullness,dark spots
Moisturizing Gel Cream,BYOMA,14.99,609,4.5,Ulta,dark spots,dryness,redness
Natural Moisturizing Factors + PhytoCeramides Moisturizer,The Ordinary,22.5,741,4.5,Ulta,uneven texture,dullness,fine lines
Pro-Collagen Marine Cream,ELEMIS,138.0,1893,4.6,Ulta,dryness,dark spots,dullness
Face Freezie Cooling Hydration Moisturizer + Primer,NYX Professional Makeup,20.0,455,4.4,Ulta,loss of firmness,dark spots,uneven texture
Toleriane Dermallegro Ultra Soothing Repair Face Moisturizer for Sensitive Skin,La Roche-Posay,31.99,404,4.3,Ulta,dryness,uneven texture,dullness
Confidence In A Gel Lotion Oil-Free Moisturizer,IT Cosmetics,49.0,1714,4.7,Ulta,dark spots,dryness,fine lines
